rank,time,athlete,club,category,competition_date,competition_type,competition_name,location,ligue,department,type,level,distance
5,21:49,REMUSON Denis,Entente Grand Mulhouse Athle*,M0M/86,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
6,22:02,MANN Jeremy,Pays De Colmar Athletisme*,M0M/88,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
7,22:35,KREBS Joffrey,,SEM/92,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
8,22:38,MISCHEL Jerome,Pays De Colmar Athletisme*,M0M/87,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
9,23:03,KOCH Axel,,ESM/04,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
10,23:08,FABING Gaetan,,M0M/89,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
11,23:23,KREIDER Leo,Entente De Haute Alsace*,CAM/08,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
12,23:24,WEISENHORN Allan,Ac Huningue,M0M/89,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
13,23:31,LOCHER Michael,Entente De Haute Alsace*,M0M/89,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
14,23:42,KETTLER Edouard,,M0M/87,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
15,24:07,ZEHLER Fabrice,,M0M/86,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
16,24:09,DUBOIS David,Entente Grand Mulhouse Athle*,M1M/82,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
17,24:10,SCHAFFNER Frederic,,M1M/80,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
18,24:17,REBER Damien,,SEM/91,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
19,24:29,MILADI Abdallah,,M1M/83,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
20,24:33,LOETSCHER Matthieu,,M0M/88,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
21,24:45,OLHAUSEN Philippe,,M2M/78,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
22,24:46,MAGINOT Pascal,,M1M/81,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
23,25:03,LIBOLD Leo,,CAM/07,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
24,25:03,GHIMBEU Cristian,,CAM/07,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
25,25:08,BURGUNDER Thomas,,M0M/86,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
26,25:08,COUSSON Albin,,SEM/00,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
27,25:11,CHALLA Noe,,JUM/06,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
28,25:12,KESSLER Arnaud,,M3M/74,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
29,25:28,FERREIRA Filipe,Pays De Colmar Athletisme*,M3M/73,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
30,25:40,ISSENLOR David,,M2M/78,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
31,25:41,ROSEL Gregory,,SEM/93,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
32,25:47,GEYER Antoine,,SEM/93,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
33,25:50,MEHL Carole,,M0F/86,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
34,25:50,DUVAL Axel,,M0M/88,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
35,26:02,BOUYER Cyril,,SEM/92,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
36,26:03,KOEHL Louan,,CAM/07,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
37,26:12,BRENGARTNER Frank (Ger),,M3M/74,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
38,26:18,GOLEA Elsa,,M0F/85,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
39,26:19,JARRY Corentin,,M0M/87,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
40,26:27,RASETTI Maxime,,M0M/87,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
41,26:56,GUILLOU Erwan,,SEM/91,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
42,26:57,JANVIER Dorian,,SEM/96,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
43,26:58,FREY Jules,,CAM/08,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
44,27:04,REISCHMANN Dieter (GER),Pays De Colmar Athletisme*,M3M/72,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
45,27:20,CHAABNA Farouk,,M0M/87,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
46,27:23,DE LUCA Bruno,,M1M/84,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
47,27:28,RICHE Jean,,CAM/07,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
48,27:32,NAUD Frederic,,M3M/72,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
49,27:34,ZINDERSTEIN Jeremie,,M0M/85,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
50,27:35,SANCHEZ Julien,,M2M/76,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
51,27:35,LECHEKHAB Lahid,,M3M/74,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
52,27:36,PENNETIER Geoffrey,,M0M/89,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
53,27:38,VARGA Laurent,,M3M/72,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
54,27:40,NUSSBAUMER Jean David,,M3M/71,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
55,27:41,CHARABIE Cynthia,,M1F/83,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
56,27:43,NAVILIAT Arnoud,,M0M/88,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
57,27:47,FREY Sebastien,EHA - S/L US THANN ATHLETISME,M1M/84,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
58,27:48,SIMON Eric,Pays De Colmar Athletisme*,M2M/75,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
59,27:52,VICHARD Cedric,,M2M/78,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
60,27:57,MANN Julien,,M0M/87,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
61,28:00,BOUYER Camille,,M0F/89,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
62,28:07,MANN Marie-Sandrine,Pays De Colmar Athletisme*,M0F/88,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
63,28:14,ANTONY Severine,,M2F/79,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
64,28:34,COUSSON Arnaud,,M3M/71,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
65,28:35,BOURDON Maurice,,M6M/59,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
66,28:37,HAISMANN Jean-Luc,Entente De Haute Alsace*,M4M/65,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
67,28:41,GRAFF Jean,PCA - S/L CCA ROUFFACH,M1M/80,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
68,28:46,PARMENTIER Thierry,,M4M/68,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
69,28:57,HOUGLEUR Charles,,SEM/00,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
70,29:09,BLONDE Loic,,SEM/94,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
71,29:18,NNORUKA Samuel,Entente Grand Mulhouse Athle*,M3M/72,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
72,29:19,BARON Kevin,,M0M/87,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
73,29:26,HEBDING Olivier,,SEM/90,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
74,29:26,WUCHER Laura,Entente De Haute Alsace*,M0F/89,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
75,29:40,SIMONET Guillaume,,SEM/94,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
76,29:57,BUECHER Sebastien,,M3M/74,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
77,30:02,LAMORLETTE Steve,EHA - S/L ALTKIRCH ATHLE SUNDG,M3M/73,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
78,30:09,BURGER Jean-Luc,Entente Grand Mulhouse Athle*,M6M/55,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
79,30:25,BALLY Alain,,M6M/56,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
80,30:37,CHARBONNIER Antoine,,SEM/96,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
81,30:40,GAUGLER Mathieu,EHA - S/L US THANN ATHLETISME,M2M/77,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
82,31:00,SCHNECK Geoffroy,,M1M/82,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
83,31:04,EWERT Alain,,M5M/60,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
84,31:16,NAFFZGER Jenny,,SEF/99,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
85,31:19,TOUBI Karim,,M3M/73,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
86,31:34,OTT David,,M3M/73,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
87,31:43,NNORUKA Paul,,JUM/05,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
88,32:02,LINDECKER Nathalie,Entente De Haute Alsace*,M2F/77,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
89,32:05,LIDY Aurelia,,M2F/78,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
90,32:16,DURAIN Yannick,,SEM/96,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
91,32:16,DURAIN Maxime,,SEM/95,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
92,32:18,SIMONET Jerome,,SEM/97,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
93,32:25,SERO Aurelie,PCA - S/L ATHLETIC COLMAR LIBE,M2F/75,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
94,32:30,MULLER Patrick,,M5M/64,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
95,32:41,HERTER Michael,,M0M/86,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
96,32:45,SERO Benoit,PCA - S/L ATHLETIC COLMAR LIBE,M2M/75,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
97,32:53,GONZALEZ Julie,,SEF/93,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
98,32:56,SCHITTLY Aurelie,,M0F/89,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
99,33:02,NOWACKI Sarah,,M1F/83,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
100,33:05,UHRING Nicole,Entente De Haute Alsace*,M4F/67,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
101,33:16,BIRGER Marlene,,M0F/86,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
102,33:17,BEHRA Carine,,M1F/80,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
103,33:21,CHALLA Abdel,,M2M/76,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
104,33:47,CSOBAN Steven,,SEM/94,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
105,33:48,REHM Coralie,,SEF/01,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
106,33:48,HEYER Isaline,,ESF/04,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
107,33:53,VIZZARRI Lina,Pays De Colmar Athletisme*,M3F/73,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
108,33:54,SIG Myriam,,M5F/63,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
109,34:01,DAYA Youcef,,M1M/82,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
110,34:01,GOETZMANN Guillaume,,M0M/86,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
111,34:02,GUTFREUND Claude,,M2M/78,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
112,34:02,WURTZ Jean-Marie,,M7M/54,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
113,34:09,GAUDIN Thomas,,M0M/88,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
114,34:30,MONNIER Sylvie,Entente De Haute Alsace*,M1F/80,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
115,34:41,GRAFF Joelle,PCA - S/L CCA ROUFFACH,M0F/85,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
116,34:47,HUG Cindy,EHA - S/L ALTKIRCH ATHLE SUNDG,M2F/79,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
117,35:21,ANSELM Marie,EHA - S/L CLUB ATHLETIC MOOSCH,M1F/82,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
118,35:29,CARON Gaelle,EHA - S/L US PULVERSHEIM ATHLE,M1F/82,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
119,36:04,BERNHARD Laurence,,M2F/76,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
120,36:54,HAENSLER Mathilde,,SEF/93,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
121,37:07,AUBERT Arnaud,,M1M/81,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
122,37:14,METZGER Pascaline,Entente De Haute Alsace*,M4F/69,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
123,37:14,MONTAGNON Gaelle,Entente De Haute Alsace*,M2F/76,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
124,37:14,SCHIRO Louis,Entente De Haute Alsace*,M6M/57,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
125,37:46,KERN Melanie,,SEF/90,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
126,38:00,ZINDERSTEIN Charlotte,EHA - S/L US PULVERSHEIM ATHLE,M0F/86,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
127,38:10,URSPRUNG Caroline,,SEF/98,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
128,38:32,HORNY- LERCH Laetitia,,M0F/88,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
129,39:00,HALIB Moon,,M4F/68,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
130,39:16,BOETSCH Diane,,SEF/97,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
131,39:29,GROFF Stephanie,,M0F/87,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
132,39:41,WOLFERSPERGER Elise,,M0F/85,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
133,40:06,LUTY Emmannuelle,,M2F/76,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
134,40:20,BLATZ Frederic,,M2M/76,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
135,41:17,MOINS Solene,,SEF/96,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
136,41:19,AURET Jean-Marc,,M4M/67,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
137,41:30,ARNOULT Isabel (ARG),EHA - S/L CLUB ATHLETIC MOOSCH,M4F/65,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
138,42:13,LAURENT Maina,,SEF/94,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
139,42:50,GERAUD Sylvie,,M3F/70,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
140,43:07,STEINERT Olivier,,M3M/72,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
141,43:29,BOSSERT Sabine,,M6F/58,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
142,43:29,MUELLER Olaf (Ger),,M4M/67,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
143,45:28,MERCURIO Anastasiia (Rus),,M3F/74,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
144,45:56,MEYER Huguette,,M5F/60,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
145,46:13,MECHALI Paul,,M8M/47,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
146,46:16,MADER Kevin (Ger),,SEM/94,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
147,47:21,EIDENSCHENK Antoinette,,M2F/75,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
148,47:21,GUTFREUND Estelle,,M1F/81,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
,,,,,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
,,,,,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
1,28'12'',OURRAD Karim,CAEN ATHLETIC CLUB*,M0M/89,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
2,28'17'',BICHEREL Yoann,Ca Cauchois,M0M/85,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
3,28'21'',PLAISSY Christophe,,M0M/85,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
4,29'03'',CARBALLO Marc,Ca Cauchois,M1M/83,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
5,29'10'',GOULARD Sylvain,LE HAVRE S'PORT ATHLETISME,M1M/82,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
6,30'09'',LEPILLER David,Co Bolbec,SEM/99,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
7,30'13'',FOREST Gwenael,Sc Bernay,M1M/80,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
8,30'54'',PIEDNOEL Emmanuel,,SEM/90,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
9,31'51'',TALAOUGHANIM Kamel,Le Havre Sport Athletisme,M0M/88,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
10,32'29'',TREMBLE Paul,Vc Bocage Vire,ESM/04,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
11,32'38'',RUBIGNY Leo,,SEM/99,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
12,32'45'',VITTECOQ Vincent,Montville Running Club,M1M/82,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
13,33'02'',VILLETTE Frederic,Montville Running Club,M3M/74,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
14,33'47'',SAUTREUIL Aurelien,S/l Cs Gravenchon,SEM/99,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
15,34'12'',SOURDON Guillaume,Sc Bernay,M1M/83,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
16,35'20'',VAUCHEL Wilfried,Groupement Athletique Basse Se,M3M/73,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
17,35'23'',VIARD Francois,Auffay Running Club,M2M/78,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
18,35'38'',CASTAGNOS Denis,As Montoise,M3M/74,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
19,37'30'',TRIFFAULT Jean-Christophe,As Montoise,M3M/71,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
20,38'13'',FOUGY Florian,Auffay Running Club,M0M/87,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
23,40'32'',RAIMBOURG Thomas,Gaccsr,SEM/96,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
24,40'37'',GERARD Patrice,Team Tsm,M2M/77,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
